,Locality,Type of Property,Sub Type,Price,No of Rooms,Area
39,"Huis, Kopen | België, Antwerpen, Antwerpen-Centrum",Huis,Historische pand,"12,500,000",5,"20.343,79 sqft"
40,"Huis, Kopen | België, Antwerpen, Antwerpen-Centrum",Huis,Historische pand,"12,500,000",5,"20.343,79 sqft"
41,"Huis, Kopen | België, Antwerpen, Antwerpen-Centrum",Huis,Historische pand,"12,500,000",5,"20.343,79 sqft"
42,"Huis, Kopen | België, Antwerpen, Antwerpen-Centrum",Huis,Historische pand,"12,500,000",5,"20.343,79 sqft"
43,"Huis, Kopen | België, Antwerpen, Antwerpen-Centrum",Huis,Historische pand,"12,500,000",5,"20.343,79 sqft"
44,"Huis, Kopen | België, Antwerpen, Antwerpen-Centrum",Huis,Historische pand,"12,500,000",5,"20.343,79 sqft"
45,"Huis, Kopen | België, Antwerpen, Antwerpen-Centrum",Huis,Historische pand,"12,500,000",5,"20.343,79 sqft"
46,"Huis, Kopen | België, Antwerpen, Antwerpen-Centrum",Huis,Historische pand,"12,500,000",5,"20.343,79 sqft"
47,"Huis, Kopen | België, Antwerpen, Antwerpen-Centrum",Huis,Historische pand,"12,500,000",5,"20.343,79 sqft"
48,"Huis, Kopen | België, Antwerpen, Antwerpen-Centrum",Huis,Historische pand,"12,500,000",5,"20.343,79 sqft"
49,"Huis, Kopen | België, Antwerpen, Antwerpen-Centrum",Huis,Historische pand,"12,500,000",5,"20.343,79 sqft"
50,"Huis, Kopen | België, Antwerpen, Antwerpen-Centrum",Huis,Historische pand,"12,500,000",5,"20.343,79 sqft"
51,"Huis, Kopen | België, Antwerpen, Antwerpen-Centrum",Huis,Historische pand,"12,500,000",5,"20.343,79 sqft"
52,"Huis, Kopen | België, Antwerpen, Antwerpen-Centrum",Huis,Historische pand,"12,500,000",5,"20.343,79 sqft"
53,"Huis, Kopen | België, Antwerpen, Antwerpen-Centrum",Huis,Historische pand,"12,500,000",5,"20.343,79 sqft"
54,"Huis, Kopen | België, Antwerpen, Antwerpen-Centrum",Huis,Historische pand,"12,500,000",5,"20.343,79 sqft"
55,"Huis, Kopen | België, Antwerpen, Antwerpen-Centrum",Huis,Historische pand,"12,500,000",5,"20.343,79 sqft"
56,"Huis, Kopen | België, Antwerpen, Antwerpen-Centrum",Huis,Historische pand,"12,500,000",5,"20.343,79 sqft"
