,Locality,Type of Property,Sub Type,Price,Type of Sale,No of Rooms,Area(sqft),Equipped(Y/N),Furnished(Y/N),Open Fire(Y/N),Terrace Area,Garden Area,Surface of the Land(sqft),Surface area of the Plot(sqft),No of Facades,Simming Pool(Y/N),State of the Building
516, Gent-Centrum, Huis,Huis, (op aanvraag) , Huis,5,"1.399,31",,,,,,,"516,67",,Y,None
517, Bruges, House,House, (On Request) , House,3,"1,022.57",,,,,,,452.08,,Y,None
518, Gent-Sint-Pieters, Huis,Villa, (op aanvraag) , Huis,8,"2.927,78",,,,,,,"17.954,2",,Y,None
519, Zedelgem, House,Villa, (On Request) , House,7,"3,702.79",,,,,,,"30,095.89",,Y,None
520, Bruges, House,Historic Estate, (On Request) , House,8,"4,036.47",,,,,,,"6,695.15",,Y,None
521, Bruges, House,House, (On Request) , House,7,"3,218.41",,,,,,,"2,798.62",,Y,None
522, Bruges, House,House, (On Request) , House,None,"1,453.13",,,,,,,(On,,Y,None
523, De Haan , House,House, (On Request) , House,6,"1,991.32",,,,,,,(On,,Y,None
524, De Haan , House,Villa, (On Request) , House,5,"1,915.98",,,,,,,(On,,Y,None
525, Damme, Huis,Huis, (op aanvraag) , Huis,6,"1.679,17",,,,,,,"5.834,04",,Y,None
526, Bruges, House,House, (On Request) , House,4,"1,377.78",,,,,,,979.52,,Y,None
527, Jabbeke, Huis,Huis, (op aanvraag) , Huis,4,"1.496,18",,,,,,,"5.381,96",,Y,None
528, Sud et péripherie, Maison,Villa, (sur demande) , Maison,11,7,,,,,,,26,,Y,None
529, Oostkamp, Huis,Ander(e), (op aanvraag) , Huis,8,"3.875,01",,,,,,,"41.484,11",,Y,None
530, Bruges, House,Detached House, (On Request) , House,4,"1,614.59",,,,,,,"7,986.82",,Y,None
531, Mechelen, House,House, (On Request) , House,7,"3,875.01",,,,,,,"7,427.1",,Y,None
532, Oostende, House,Villa, (On Request) , House,6,"1,883.68",,,,,,,"9,364.6",,Y,None
533, Oostkamp, Huis,Villa, (op aanvraag) , Huis,5,"3.013,89",,,,,,,"12.367,73",,Y,None
534, Jabbeke, House,Villa, (On Request) , House,10,"4,413.2",,,,,,,22.59,,Y,None
535, Jabbeke, House,Villa, (On Request) , House,7,"2,583.34",,,,,,,(On,,Y,None
536, Bruges, Huis,Villa, (op aanvraag) , Huis,9,"4.305,56",,,,,,,"2,44",,Y,None
537, Bruges, House,House, (On Request) , House,4,"2,454.17",,,,,,,"1,474.66",,Y,None
538, Zedelgem , Huis,Villa, (op aanvraag) , Huis,5,"16.371,91",,,,,,,(op,,Y,None
539, Bruges, House,Historic Estate, (On Request) , House,4,"1,356.25",,,,,,,893.4,,Y,None
540, Oostende, House,Villa, (On Request) , House,8,"4,951.4",,,,,,,"20,731.29",,Y,None
541, Damme , House,Villa, (On Request) , House,7,"2,798.62",,,,,,,1.53,,Y,None
542, Bruges, House,Historic Estate, (On Request) , House,9,"3,767.37",,,,,,,5.54,,Y,None
543, Oostkamp , Huis,Vrijstaande woning, (op aanvraag) , Huis,2,"1.377,78",,,,,,,"5.198,97",,Y,None
544, Bruges, House,Historic Estate, (On Request) , House,13,"3,799.66",,,,,,,"3,401.4",,Y,None
545, Oostende, House,Villa, (On Request) , House,6,"2,690.98",,,,,,,"7,104.18",,Y,None
546, De Haan , House,Villa, (On Request) , House,5,"2,335.77",,,,,,,"6,275.36",,Y,None
547, Gent-Centrum, Huis,Investering / Woon- en werkruimte, (op aanvraag) , Huis,6,"3.767,37",,,,,,,"1.453,13",,Y,None
548, Bruges, Huis,Huis, (op aanvraag) , Huis,5,"1.937,5",,,,,,,"2.034,38",,Y,None
549, Jabbeke, House,Villa, (On Request) , House,4,"2,152.78",,,,,,,2.94,,Y,None
550, Bruges, House,House, (On Request) , House,6,"2,292.71",,,,,,,"1,829.86",,Y,None
551, Bruges, House,Investment / Residential investment, (On Request) , House,7,"4,919.11",,,,,,,"4,843.76",,Y,None
552, Bruges, House,Villa, (On Request) , House,7,"2,841.67",,,,,,,"10,440.99",,Y,None
553, Bruges, House,Historic Estate, (On Request) , House,11,"8,342.03",,,,,,,17.83,,Y,None
554, Beernem, House,Villa, (On Request) , House,7,"3,681.26",,,,,,,3.03,,Y,None
555, Bruges, Huis,Investering / Woon- en werkruimte, (op aanvraag) , Huis,10,"1.399,31",,,,,,,"818,06",,Y,None
556, Zedelgem, House,Villa, (On Request) , House,8,"5,554.18",,,,,,,"47,608.78",,Y,None
557, Lasne/Ohain , Maison,Villa, (sur demande) , Maison,8,5,,,,,,,"3,54",,Y,None
558, South and surroundings, House,House, (On Request) , House,None,(On,,,,,,,None,,Y,None
559, De Haan , House,Villa, (On Request) , House,5,"2,152.78",,,,,,,"12,077.11",,Y,None
560, Bruges, House,Historic Estate, (On Request) , House,7,"6,458.35",,,,,,,"8,643.42",,Y,None
561, Zedelgem, House,Villa, (On Request) , House,5,"2,152.78",,,,,,,(On,,Y,None
562, Oostkamp, House,House, (On Request) , House,5,"1,474.66",,,,,,,"5,790.98",,Y,None
563, Oostkamp, House,Historic Estate, (On Request) , House,7,"5,608",,,,,,,"11,947.94",,Y,None
564, Zedelgem, House,Villa, (On Request) , House,6,"9,310.78",,,,,,,(On,,Y,None
565, Bruges , Huis,Villa, (op aanvraag) , Huis,7,"4.951,4",,,,,,,"16.490,31",,Y,None
566, De Haan , House,Villa, (On Request) , House,5,"1,829.86",,,,,,,"14,089.96",,Y,None
567, Oostende, House,House, (On Request) , House,6,"1,722.23",,,,,,,(On,,Y,None
568, Jabbeke, House,Villa, (On Request) , House,6,"3,013.89",,,,,,,"13,627.11",,Y,None
569, Bruges, Huis,Villa, (op aanvraag) , Huis,7,"20.408,37",,,,,,,(op,,Y,None
570, Oostkamp, Huis,Huis, (op aanvraag) , Huis,4,"1.463,89",,,,,,,"6.921,19",,Y,None
571, Damme, Huis,Historische pand, (op aanvraag) , Huis,33,"5.489,59",,,,,,,(op,,Y,None
572, Bruges , Huis,Villa, (op aanvraag) , Huis,7,"3.390,63",,,,,,,"14.725,03",,Y,None
573, Bruges, Huis,Investering / Woon- en werkruimte, (op aanvraag) , Huis,None,(op,,,,,,,None,,Y,None
574, Oostende, Huis,Huis, (op aanvraag) , Huis,6,"2.906,26",,,,,,,"1.614,59",,Y,None
575, Bruges, Huis,Villa, (op aanvraag) , Huis,6,"3.498,27",,,,,,,"7.265,64",,Y,None
576, Bruges, House,Villa, (On Request) , House,5,"3,444.45",,,,,,,"4,897.58",,Y,None
577, Jabbeke, House,Historic Estate, (On Request) , House,7,"5,597.23",,,,,,,"20,989.63",,Y,None
578, De Haan , Huis,Villa, (op aanvraag) , Huis,6,"2.690,98",,,,,,,"9.009,39",,Y,None
579, Bruges, House,House, (On Request) , House,4,968.75,,,,,,,559.72,,Y,None
580, Bruges , House,Villa, (On Request) , House,6,"2,561.81",,,,,,,"15,015.66",,Y,None
581, Bruges, House,House, (On Request) , House,3,957.99,,,,,,,796.53,,Y,None
582, Bruges , House,Villa, (On Request) , House,7,"3,013.89",,,,,,,"9,396.89",,Y,None
583, Bruges, House,House, (On Request) , House,4,"1,011.81",,,,,,,516.67,,Y,None
584, Bruges, House,House, (On Request) , House,6,"4,574.66",,,,,,,"4,811.47",,Y,None
